1,"Private flight",\N,"-","N/A","","","Y"
2,"135 Airways",\N,"","GNL","GENERAL","United States","N"
3,"1Time Airline",\N,"1T","RNX","NEXTIME","South Africa","Y"
4,"2 Sqn No 1 Elementary Flying Training School",\N,"","WYT","","United Kingdom","N"
5,"213 Flight Unit",\N,"","TFU","","Russia","N"
6,"223 Flight Unit State Airline",\N,"","CHD","CHKALOVSK-AVIA","Russia","N"
7,"224th Flight Unit",\N,"","TTF","CARGO UNIT","Russia","N"
8,"247 Jet Ltd",\N,"","TWF","CLOUD RUNNER","United Kingdom","N"
9,"3D Aviation",\N,"","SEC","SECUREX","United States","N"
10,"40-Mile Air",\N,"Q5","MLA","MILE-AIR","United States","Y"
11,"4D Air",\N,"","QRT","QUARTET","Thailand","N"
12,"611897 Alberta Limited",\N,"","THD","DONUT","Canada","N"
13,"Ansett Australia",\N,"AN","AAA","ANSETT","Australia","Y"
14,"Abacus International",\N,"1B","","","Singapore","Y"
15,"Abelag Aviation",\N,"W9","AAB","ABG","Belgium","N"
16,"Army Air Corps",\N,"","AAC","ARMYAIR","United Kingdom","N"
17,"Aero Aviation Centre Ltd.",\N,"","AAD","SUNRISE","Canada","N"
18,"Aero Servicios Ejecutivos Internacionales",\N,"","SII","ASEISA","Mexico","N"
19,"Aero Biniza",\N,"","BZS","BINIZA","Mexico","N"
20,"Aero Albatros",\N,"","ABM","ALBATROS ESPANA","Spain","N"
21,"Aigle Azur",\N,"ZI","AAF","AIGLE AZUR","France","Y"
22,"Aloha Airlines",\N,"AQ","AAH","ALOHA","United States","Y"
23,"Alaska Island Air",\N,"","AAK","ALASKA ISLAND","United States","N"
24,"American Airlines",\N,"AA","AAL","AMERICAN","United States","Y"
25,"Aviation Management Corporation",\N,"","AAM","AM CORP","United States","N"
26,"Atlantis Airlines (USA)",\N,"","AAO","ATLANTIS AIR","United States","N"
27,"Aerovista Airlines",\N,"","AAP","AEROVISTA GROUP","United Arab Emirates","N"
28,"Asiana Airlines",\N,"OZ","AAR","ASIANA","Republic of Korea","Y"
29,"Askari Aviation",\N,"4K","AAS","AL-AAS","Pakistan","Y"
30,"Australia Asia Airlines",\N,"","AAU","AUSTASIA","Australia","N"
31,"Astro Air International",\N,"","AAV","ASTRO-PHIL","United States","N"
32,"Afriqiyah Airways",\N,"8U","AAW","AFRIQIYAH","Libya","Y"
33,"Afrinat International Airlines",\N,"Q9","AFU","","Gambia","N"
34,"Afric'air Express",\N,"","AAX","AFREX","Ivory Coast","N"
35,"Allegiant Air",\N,"G4","AAY","ALLEGIANT","United States","Y"
36,"Angus Aviation",\N,"","AAZ","ANGUS","Canada","N"
37,"Artem-Avia",\N,"","ABA","ARTEM-AVIA","Ukraine","N"
38,"African Business and Transportations",\N,"","ABB","AFRICAN BUSINESS-","Democratic Republic of the Congo","N"
39,"Aban Air",\N,"K5","ABE","ABAN","Iran","n"
40,"Aerial Oy",\N,"","ABF","SKYWINGS","Finland","N"
41,"Abakan-Avia",\N,"","ABG","ABAKAN-AVIA","Russia","N"
42,"ABSA - Aerolinhas Brasileiras",\N,"M3","TUS","ABSA Cargo","Brazil","Y"
43,"Abaet",\N,"","ABJ","Abaet","Brazil","N"
44,"Alberta Citylink",\N,"","ABK","ALBERTA CITYLINK","Canada","N"
45,"APSA Colombia",\N,"","ABO","AEROEXPRESO","Colombia","N"
46,"Aerovias Bueno",\N,"","ABU","AEROBUENO","Colombia","N"
47,"Aerocenter",\N,"","ACR"," Escuela de Formacion de Pioltos Privados de Avion","AEROCENTER","N"
48,"Antrak Air",\N,"04","ABV","ANTRAK","Ghana","N"
49,"Airborne Express",\N,"GB","ABX","ABEX","United States","N"
50,"ABX Air",\N,"GB","ABX","ABEX","United States","N"
